Fecha;Temp_Max;Temp_Min;Precip;Hum. Relat.
1/1/2023;26.6;19.5;10;71
2/1/2023;30.7;16.9;0;55
3/1/2023;32.6;19;0;45
4/1/2023;28.1;18.8;0;45
5/1/2023;31.9;20;0;57
6/1/2023;32.1;23.3;0;63
7/1/2023;30.6;22.5;0;58
8/1/2023;29.6;22.8;0;70
9/1/2023;29.1;22.5;0;67
10/1/2023;29.9;22.6;0;70
11/1/2023;28.6;23.4;0;69
12/1/2023;30.6;18.2;0;73
13/1/2023;30.8;21.5;0;40
14/1/2023;31;20.3;0;46
15/1/2023;33.1;23.5;0;53
16/1/2023;32.7;24.8;0;60
17/1/2023;34.2;25.8;0;56
18/1/2023;29;22.4;0;71
19/1/2023;30.6;23.6;0;73
20/1/2023;31.6;21.3;16;76
21/1/2023;32.6;21.9;8;74
22/1/2023;35.2;22.5;0;53
23/1/2023;29.5;22.3;0;62
24/1/2023;33.6;23;0;48
25/1/2023;32.6;20.9;0;65
26/1/2023;31.7;24.8;16.8;68
27/1/2023;27.7;20;6;82
28/1/2023;29.3;21.8;0;83
29/1/2023;28.5;23.3;0;69
30/1/2023;27.6;21.6;0;73
31/1/2023;28.6;23.1;0;76
1/2/2023;27.4;23.2;0;76
2/2/2023;27;22.2;7;79
3/2/2023;26.6;19.2;5;73
4/2/2023;29.8;18.8;0;58
5/2/2023;29.1;19.2;0;67
6/2/2023;31.6;22.3;0;59
7/2/2023;32.1;23.8;0;70
8/2/2023;31.3;25.2;0;61
9/2/2023;32.1;22.8;0;69
10/2/2023;34.1;25.2;0;65
11/2/2023;36.6;27;0;57
12/2/2023;36.5;27.9;0;59
13/2/2023;32.2;23.1;7.5;64
14/2/2023;33.8;22.8;0;52
15/2/2023;28.8;20.8;0;58
16/2/2023;27.8;14;0.1;61
17/2/2023;15.9;8.3;0.1;61
18/2/2023;23.7;9.4;0;45
19/2/2023;25.6;15.8;0;50
20/2/2023;27.6;18.3;0;58
21/2/2023;29.5;20.4;0;70
22/2/2023;32.6;21.4;0;63
23/2/2023;31.7;22.4;0;70
24/2/2023;29.6;22.3;0;72
25/2/2023;30.1;20.8;7;66
26/2/2023;26.2;18;0;54
27/2/2023;28.1;20.5;0;57
28/2/2023;32.6;22.5;0;71
1/3/2023;34.1;23.5;0;61
2/3/2023;34.3;23.5;0;66
3/3/2023;32.1;23.9;0;66
4/3/2023;34.7;23.6;0;77
5/3/2023;29.7;23.1;0;78
6/3/2023;32.1;25.1;0;65
7/3/2023;30.6;22.2;0;73
8/3/2023;30.5;24.8;0;77
9/3/2023;31.6;24.1;0;68
10/3/2023;33.1;25.1;0;75
11/3/2023;35.6;26.5;0;69
12/3/2023;34.6;27.8;0;64
13/3/2023;31.8;26.4;0;67
14/3/2023;35.1;27.4;0;65
15/3/2023;30.6;24.5;10;81
16/3/2023;29.2;25;0;78
17/3/2023;31.5;25.2;0;76
18/3/2023;29;23.3;0;76
19/3/2023;28.8;22.3;3;81
20/3/2023;26.7;18.8;0;68
21/3/2023;26.3;21;0;58
22/3/2023;25.1;20.1;0;53
23/3/2023;27.3;21.8;0;74
24/3/2023;26.3;21.6;40;75
25/3/2023;27.1;19.8;1;87
26/3/2023;24.3;14.4;0;57
27/3/2023;25.1;18.1;0;60
28/3/2023;28.7;21.6;0;60
29/3/2023;28.6;19.4;0;69
30/3/2023;22.9;14.8;0;67
31/3/2023;22.7;16.9;0;54
1/4/2023;19.7;11.3;0;65
2/4/2023;21.2;16.7;47;69
3/4/2023;21.3;15.5;0;84
4/4/2023;22.7;16.8;0;81
5/4/2023;24.2;19;0;74
